# source: GeoNames gazetteer, Iran (IR) — administrative divisions, admin level 1 (province) and 2 (county / shahrestan)
# url: https://download.geonames.org/export/dump/IR.zip
# sha256: a508c1962f00e637217e42b114d9dec1187abe6db73a9db56731f60dc0d9541f
# altnames-source: GeoNames alternate names, Iran (IR) — fa/ps/ckb/az/uz/ms/tg/ne/ta names by geonameid, plus kmr from the Latin-script (Hawar-alphabet) half of the generic `ku` tag (DT-020; prs checked and not usable, see this file's generator docstring)
# altnames-url: https://download.geonames.org/export/dump/alternatenames/IR.zip
# altnames-sha256: 52a2f2c70206baa69bc3c9fc65c0426751affb501d3042ff384c9fa20ee19b8e
# retrieved: 2026-09-25
# licence: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/ (GeoNames, https://www.geonames.org/about.html); config/license/allowed-licenses.json dataLicenses, ADR-0039
# generator: tools/geodata/geonames_iran_divisions.py
# notes: no district (admin level 3 / bakhsh) rows — GeoNames' Iran admin3 coverage is 7 records, far short of the real count (docs/DATA_TODO.md DT-021); a division with no published alternate name in a language has an empty field for it; coverage per language (of 466 divisions): fa=463, ps=31, ckb=30, az=32, uz=31, ms=31, tg=32, ne=1, ta=30, kmr=31
# columns: code,level,parentCode,en,latitude,longitude,fa,ps,ckb,az,uz,ms,tg,ne,ta,kmr
449658	COUNTY	08	Shaft	37.08333	49.38333	شهرستان شفت									
449652	COUNTY	08	Shahrestān-e Bandar-e Anzalī	37.45000	49.41333	شهرستان بندر انزلی									
449661	COUNTY	08	Shahrestān-e Fūman	37.16337	49.17130	شهرستان فومن									
449663	COUNTY	08	Shahrestān-e Langarūd	37.10000	50.12500	شهرستان لنگرود									
449662	COUNTY	08	Shahrestān-e Lāhījān	37.16700	50.00000	شهرستان لاهيجان									
449664	COUNTY	08	Shahrestān-e Māsāl	37.30000	49.00000	شهرستان ماسال									
449654	COUNTY	08	Shahrestān-e Reẕvānshahr	37.53333	48.95000	شهرستان رضوانشهر									
449655	COUNTY	08	Shahrestān-e Rūdbār	36.78500	49.60000	شهرستان رودبار									
449656	COUNTY	08	Shahrestān-e Rūdsar	36.86667	50.30000	شهرستان رودسر									
449657	COUNTY	08	Shahrestān-e Sīāhkal	36.93333	49.85000	شهرستان سياهکل									
449650	COUNTY	08	Shahrestān-e Āstāneh-ye Ashrafīyeh	37.33333	50.00000	شهرستان آستانه اشرفيه									
449649	COUNTY	08	Shahrestān-e Āstārā	38.33333	48.75000	شهرستان آستارا									
449659	COUNTY	08	Shahrestān-e Şowme‘eh Sarā	37.35500	49.29750	شهرستان صومعه سرا									
8620884	COUNTY	08	Shahrestān-e Ţavālesh	37.90000	48.78333	شهرستان طوالش									
449711	COUNTY	09	Razan	35.43357	48.98170	شهرستان رزن									
449708	COUNTY	09	Shahrestān-e Asadābād	34.78333	48.00000	شهرستان اسد آباد									
449709	COUNTY	09	Shahrestān-e Bahār	34.98612	48.37164	شهرستان بهار									
9523287	COUNTY	09	Shahrestān-e Fāmenīn	35.09813	49.17369	شهرستان فامنين									
